FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:244 | networking_times,[5.043, 11.904, 10.273, 4.823, 2.987, 8.021, 2.924]
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:33:45,828 | server.py:237 | client_id,8
FedBalancer | INFO flower 2022-05-17 19:33:45,829 | server.py:238 | download_times,[5.282, 11.935, 7.781, 5.954, 4.295, 9.382, 4.169, 3.44]
FedBalancer | INFO flower 2022-05-17 19:33:45,829 | server.py:239 | upload_times,[0, 0, 2.447, 0, 0, 0, 0, 0]
FedBalancer | INFO flower 2022-05-17 19:33:45,829 | server.py:240 | per_epoch_train_times,[2.964, 2.987, 2.873, 2.911, 2.924, 3.0, 2.81, 2.891]
FedBalancer | INFO flower 2022-05-17 19:33:45,829 | server.py:241 | per_batch_train_times,[0.09, 0.091, 0.087, 0.088, 0.089, 0.091, 0.085, 0.088]
FedBalancer | INFO flower 2022-05-17 19:33:45,829 | server.py:242 | inference_times,[5.847, 5.775, 5.834, 5.747, 5.98, 5.858, 5.663, 5.884]
FedBalancer | INFO flower 2022-05-17 19:33:45,829 | server.py:243 | round_completion_times,[25.711, 32.615, 30.471, 25.124, 23.587, 28.879, 22.636, 22.595]
FedBalancer | INFO flower 2022-05-17 19:33:45,829 | server.py:244 | networking_times,[5.043, 11.904, 10.273, 4.823, 2.987, 8.021, 2.924, 2.255]
FedBalancer | INFO flower 2022-05-17 19:33:45,830 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:34:08,163 | server.py:237 | client_id,8
FedBalancer | INFO flower 2022-05-17 19:34:08,164 | server.py:238 | download_times,[5.282, 11.935, 7.781, 5.954, 4.295, 9.382, 4.169, 3.44, 3.783]
FedBalancer | INFO flower 2022-05-17 19:34:08,164 | server.py:239 | upload_times,[0, 0, 2.447, 0, 0, 0, 0, 0, 0]
FedBalancer | INFO flower 2022-05-17 19:34:08,164 | server.py:240 | per_epoch_train_times,[2.964, 2.987, 2.873, 2.911, 2.924, 3.0, 2.81, 2.891, 2.826]
FedBalancer | INFO flower 2022-05-17 19:34:08,164 | server.py:241 | per_batch_train_times,[0.09, 0.091, 0.087, 0.088, 0.089, 0.091, 0.085, 0.088, 0.086]
FedBalancer | INFO flower 2022-05-17 19:34:08,164 | server.py:242 | inference_times,[5.847, 5.775, 5.834, 5.747, 5.98, 5.858, 5.663, 5.884, 5.891]
FedBalancer | INFO flower 2022-05-17 19:34:08,165 | server.py:243 | round_completion_times,[25.711, 32.615, 30.471, 25.124, 23.587, 28.879, 22.636, 22.595, 22.332]
FedBalancer | INFO flower 2022-05-17 19:34:08,165 | server.py:244 | networking_times,[5.043, 11.904, 10.273, 4.823, 2.987, 8.021, 2.924, 2.255, 2.311]
FedBalancer | INFO flower 2022-05-17 19:34:08,165 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:237 | client_id,8
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:238 | download_times,[5.282, 11.935, 7.781, 5.954, 4.295, 9.382, 4.169, 3.44, 3.783, 3.474]
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:239 | upload_times,[0, 0, 2.447, 0, 0, 0, 0, 0, 0, 0]
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:240 | per_epoch_train_times,[2.964, 2.987, 2.873, 2.911, 2.924, 3.0, 2.81, 2.891, 2.826, 2.948]
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:241 | per_batch_train_times,[0.09, 0.091, 0.087, 0.088, 0.089, 0.091, 0.085, 0.088, 0.086, 0.089]
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:242 | inference_times,[5.847, 5.775, 5.834, 5.747, 5.98, 5.858, 5.663, 5.884, 5.891, 5.642]
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:243 | round_completion_times,[25.711, 32.615, 30.471, 25.124, 23.587, 28.879, 22.636, 22.595, 22.332, 22.367]
FedBalancer | INFO flower 2022-05-17 19:34:30,533 | server.py:244 | networking_times,[5.043, 11.904, 10.273, 4.823, 2.987, 8.021, 2.924, 2.255, 2.311, 1.985]
FedBalancer | INFO flower 2022-05-17 19:34:30,534 | server.py:279 | CLIENT ID: 8 LATENCY SAMPLE LENGTH: 10
FedBalancer | INFO flower 2022-05-17 19:34:30,534 | server.py:329 | Deadline 25.631700000000002
