FedBalancer | INFO flower 2022-05-18 19:17:50,426 | server.py:238 | download_times,[7.663, 5.528, 7.377, 17.998, 10.284, 10.345, 8.135, 6.386, 8.909]
FedBalancer | INFO flower 2022-05-18 19:17:50,426 | server.py:239 | upload_times,[0.733, 0.589, 0.767, 0.28, 0.588, 0.581, 0.615, 0.436, 0.673]
FedBalancer | INFO flower 2022-05-18 19:17:50,426 | server.py:240 | per_epoch_train_times,[0.973, 0.963, 0.964, 0.963, 0.967, 0.965, 0.962, 0.964, 0.959]
FedBalancer | INFO flower 2022-05-18 19:17:50,426 | server.py:241 | per_batch_train_times,[0.026, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025]
FedBalancer | INFO flower 2022-05-18 19:17:50,426 | server.py:242 | inference_times,[3.61, 3.591, 3.607, 3.61, 3.592, 3.601, 3.585, 3.609, 3.587]
FedBalancer | INFO flower 2022-05-18 19:17:50,426 | server.py:243 | round_completion_times,[16.886, 14.531, 16.58, 26.709, 19.309, 19.36, 17.153, 15.259, 17.973]
FedBalancer | INFO flower 2022-05-18 19:17:50,426 | server.py:244 | networking_times,[8.411, 6.126, 8.152, 18.286, 10.88, 10.935, 8.76, 6.831, 9.59]
FedBalancer | INFO flower 2022-05-18 19:17:50,426 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:18:08,206 | server.py:237 | client_id,15
FedBalancer | INFO flower 2022-05-18 19:18:08,206 | server.py:238 | download_times,[7.663, 5.528, 7.377, 17.998, 10.284, 10.345, 8.135, 6.386, 8.909, 9.019]
FedBalancer | INFO flower 2022-05-18 19:18:08,206 | server.py:239 | upload_times,[0.733, 0.589, 0.767, 0.28, 0.588, 0.581, 0.615, 0.436, 0.673, 0.343]
FedBalancer | INFO flower 2022-05-18 19:18:08,206 | server.py:240 | per_epoch_train_times,[0.973, 0.963, 0.964, 0.963, 0.967, 0.965, 0.962, 0.964, 0.959, 0.962]
FedBalancer | INFO flower 2022-05-18 19:18:08,207 | server.py:241 | per_batch_train_times,[0.026, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025]
FedBalancer | INFO flower 2022-05-18 19:18:08,207 | server.py:242 | inference_times,[3.61, 3.591, 3.607, 3.61, 3.592, 3.601, 3.585, 3.609, 3.587, 3.599]
FedBalancer | INFO flower 2022-05-18 19:18:08,207 | server.py:243 | round_completion_times,[16.886, 14.531, 16.58, 26.709, 19.309, 19.36, 17.153, 15.259, 17.973, 17.777]
FedBalancer | INFO flower 2022-05-18 19:18:08,207 | server.py:244 | networking_times,[8.411, 6.126, 8.152, 18.286, 10.88, 10.935, 8.76, 6.831, 9.59, 9.37]
FedBalancer | INFO flower 2022-05-18 19:18:08,208 | server.py:279 | CLIENT ID: 15 LATENCY SAMPLE LENGTH: 10
FedBalancer | INFO flower 2022-05-18 19:18:08,209 | server.py:329 | Deadline 18.1537
